Number|Daily Time Spent on Site|Daily Internet Usage|Ad Topic Line|Clicked on Ad
30|78.74|204.79|Public-key foreground groupware|0
31|48.53|134.14|Ameliorated client-driven forecast|1
32|51.95|129.23|Monitored systematic hierarchy|1
33|70.2|119.2|Open-architected impactful productivity|1
34||209.82|Business-focused value-added definition|0
35|67.64|267.01|Programmable asymmetric data-warehouse|0
36|86.41|207.48|Digitized static capability|0
37|59.05|169.23|Digitized global capability|1
38|55.6|212.58|Multi-layered 4thgeneration knowledge user|1
39|57.64|133.81|Synchronized dedicated service-desk|1
40|84.37|201.58|Synchronized systemic hierarchy|0
41|62.26|125.45|Profound stable product|1
42|65.82|221.94|Reactive demand-driven capacity|0
43|50.43|119.32|Persevering needs-based open architecture|1
44|38.93|162.08|Intuitive exuding service-desk|1
45|84.98|202.61|Innovative user-facing extranet|0
46|64.24||Front-line intermediate database|0
47|82.52|198.11|Persevering exuding system engine|0
48|81.38|212.3|Balanced dynamic application|0
49|80.47|204.86|Reduced global support|0
50|37.68|172.83|Organic leadingedge secured line|1
51|69.62|202.25|Business-focused encompassing neural-net|0
52|85.4|198.72|Triple-buffered demand-driven alliance|0
53|44.33||Visionary maximized process improvement|1
54|48.01||Centralized 24/7 installation|1
55||196.71|Organized static focus group|0
56|79.94|225.29|Visionary reciprocal circuit|0
57|33.33|193.58|Pre-emptive value-added workforce|1
58|50.33|133.2|Sharable analyzing alliance|1
59|62.31|119.3|Team-oriented encompassing portal|1
60||177.55|Sharable bottom-line solution|0
61|65.19|150.61|Cross-group regional website|1
62|44.98|129.31|Organized global model|1
63|77.63|239.22|Upgradable asynchronous circuit|0
64|41.82|156.36|Phased transitional instruction set|1
65|85.61|183.43|Customer-focused empowering ability|0
66|85.84|192.93|Front-line heuristic data-warehouse|0
67|72.08|169.5|Stand-alone national attitude|0
68|86.06|178.92|Focused upward-trending core|0
69|45.96|141.22|Streamlined cohesive conglomeration|1
70|62.42|198.5|Upgradable optimizing toolset|0
71|||Synchronized user-facing core|1
72|35.33|200.22|Organized client-driven alliance|1
73|75.74|215.25|Ergonomic multi-state structure|0
74|78.53|131.72|Synergized multimedia emulation|1
75|46.13|139.01|Customer-focused optimizing moderator|1
76|69.01|222.63|Advanced full-range migration|0
77|55.35|153.17|De-engineered object-oriented protocol|1
78|33.21|167.07|Polarized clear-thinking budgetary management|1
79|38.46|145.98|Customizable 6thgeneration knowledge user|1
80|64.1|215.93|Seamless object-oriented structure|0
81|49.81|120.06|Seamless real-time array|1
82|82.73||Grass-roots impactful system engine|0
83|56.14|113.53|Devolved tangible approach|1
84|55.13|111.71|Customizable executive software|1
85|78.11|209.25|Progressive analyzing attitude|0
86|73.46|222.75|Innovative executive encoding|0
87|56.64|115.91|Down-sized uniform info-mediaries|1
88|68.94|138.71|Streamlined next generation implementation|1
89|70.79|184.1|Distributed tertiary system engine|0
90|57.76|105.15|Triple-buffered scalable groupware|1
91|77.51|200.55|Total 5thgeneration encoding|0
92|52.7|118.6|Integrated human-resource encoding|1
93|57.7|109.07|Phased dynamic customer loyalty|1
94|56.89|109.29|Open-source coherent policy|1
95|69.9|138.35|Down-sized modular intranet|1
96|55.79|149.67|Pre-emptive content-based focus group|1
97|70.03|227.72|Versatile 4thgeneration system engine|0
98|50.08|125.85|Ergonomic full-range time-frame|1
99|43.67|166.29|Automated directional function|1
100|72.84|238.63|Progressive empowering alliance|0
101||154.02|Versatile homogeneous capacity|1
102|39.94|156.3|Function-based optimizing protocol|1
103||158.22|Up-sized secondary software|1
104|79.71|211.65|Seamless holistic time-frame|0
105|41.49|169.18|Persevering reciprocal firmware|1
106|63.6|235.28|Centralized logistical secured line|0
107|89.91|194.23|Innovative background conglomeration|0
108|68.18|218.17|Switchable 3rdgeneration hub|0
109||202.16|Polarized 6thgeneration info-mediaries|0
110|80.49|229.12|Balanced heuristic approach|0
111|72.23|241.03|Focused 24hour implementation|0
112|42.39|150.99|De-engineered mobile infrastructure|1
113||135.18|Customer-focused upward-trending contingency|1
114|74.02|210.54|Operative system-worthy protocol|0
